timestamp,packet_seq,packet_type,packet_size,send_time,ack_time,rtt_ms,instant_throughput_mbps,
2024-12-02-15:53:32,4,CFH,1857353,2024-12-02-15:53:32,2024-12-02-15:53:32,248.6759,59.751765,
2024-12-02-15:53:32,5,DATA,10240,2024-12-02-15:53:32,2024-12-02-15:53:32,245.3573,0.33388,
2024-12-02-15:53:32,6,DATA,10240,2024-12-02-15:53:32,2024-12-02-15:53:32,268.6221,0.304964,
2024-12-02-15:53:32,7,DATA,10240,2024-12-02-15:53:32,2024-12-02-15:53:32,272.0572,0.301113,
2024-12-02-15:53:32,8,DATA,10240,2024-12-02-15:53:32,2024-12-02-15:53:32,278.6886,0.293948,
2024-12-02-15:53:32,9,DATA,10240,2024-12-02-15:53:32,2024-12-02-15:53:32,93.5319,0.875851,
2024-12-02-15:53:32,10,DATA,10240,2024-12-02-15:53:32,2024-12-02-15:53:32,226.9234,0.361003,
2024-12-02-15:53:32,11,DATA,10240,2024-12-02-15:53:32,2024-12-02-15:53:32,276.7034,0.296057,
2024-12-02-15:53:32,12,DATA,10240,2024-12-02-15:53:32,2024-12-02-15:53:32,274.9007,0.297999,
2024-12-02-15:53:32,13,DATA,10240,2024-12-02-15:53:32,2024-12-02-15:53:32,288.5425,0.28391,
2024-12-02-15:53:32,14,DATA,10240,2024-12-02-15:53:32,2024-12-02-15:53:32,278.6081,0.294033,
2024-12-02-15:53:32,15,DATA,10240,2024-12-02-15:53:32,2024-12-02-15:53:32,278.2805,0.294379,
2024-12-02-15:53:32,16,DATA,10240,2024-12-02-15:53:32,2024-12-02-15:53:32,235.108,0.348436,
2024-12-02-15:53:32,17,DATA,10240,2024-12-02-15:53:32,2024-12-02-15:53:32,235.0257,0.348558,
2024-12-02-15:53:32,18,DATA,10240,2024-12-02-15:53:32,2024-12-02-15:53:33,237.0501,0.345581,
2024-12-02-15:53:32,19,DATA,10240,2024-12-02-15:53:32,2024-12-02-15:53:33,233.0965,0.351442,
2024-12-02-15:53:32,20,DATA,10240,2024-12-02-15:53:32,2024-12-02-15:53:33,195.6596,0.418686,
2024-12-02-15:53:32,21,DATA,10240,2024-12-02-15:53:32,2024-12-02-15:53:33,269.9276,0.303489,
2024-12-02-15:53:33,22,DATA,10240,2024-12-02-15:53:33,2024-12-02-15:53:33,270.2455,0.303132,
2024-12-02-15:53:33,23,DATA,10240,2024-12-02-15:53:33,2024-12-02-15:53:33,300.7684,0.272369,
2024-12-02-15:53:33,24,DATA,10240,2024-12-02-15:53:33,2024-12-02-15:53:33,515.9062,0.158789,
2024-12-02-15:53:33,25,DATA,10240,2024-12-02-15:53:33,2024-12-02-15:53:33,751.4278,0.109019,
2024-12-02-15:53:33,26,DATA,10240,2024-12-02-15:53:33,2024-12-02-15:53:33,624.6913,0.131137,
2024-12-02-15:53:33,27,DATA,10240,2024-12-02-15:53:33,2024-12-02-15:53:33,639.8609,0.128028,
2024-12-02-15:53:33,28,DATA,10240,2024-12-02-15:53:33,2024-12-02-15:53:33,597.7858,0.137039,
2024-12-02-15:53:33,29,DATA,10240,2024-12-02-15:53:33,2024-12-02-15:53:33,614.3471,0.133345,
2024-12-02-15:53:33,30,DATA,10240,2024-12-02-15:53:33,2024-12-02-15:53:34,153.6951,0.533003,
2024-12-02-15:53:33,31,DATA,10240,2024-12-02-15:53:33,2024-12-02-15:53:34,216.013,0.379236,
2024-12-02-15:53:33,32,DATA,10240,2024-12-02-15:53:33,2024-12-02-15:53:34,187.43,0.43707,
2024-12-02-15:53:33,33,DATA,10240,2024-12-02-15:53:33,2024-12-02-15:53:34,225.4434,0.363373,
2024-12-02-15:53:33,34,DATA,10240,2024-12-02-15:53:33,2024-12-02-15:53:34,196.7648,0.416335,
2024-12-02-15:53:34,35,DATA,10240,2024-12-02-15:53:34,2024-12-02-15:53:34,170.3973,0.480759,
2024-12-02-15:53:34,36,DATA,10240,2024-12-02-15:53:34,2024-12-02-15:53:34,296.386,0.276396,
2024-12-02-15:53:34,37,DATA,10240,2024-12-02-15:53:34,2024-12-02-15:53:34,338.4065,0.242076,
2024-12-02-15:53:34,38,DATA,10240,2024-12-02-15:53:34,2024-12-02-15:53:34,303.4993,0.269918,
2024-12-02-15:53:34,39,DATA,10240,2024-12-02-15:53:34,2024-12-02-15:53:34,311.9863,0.262576,
2024-12-02-15:53:34,40,DATA,10240,2024-12-02-15:53:34,2024-12-02-15:53:34,291.3756,0.281149,
2024-12-02-15:53:34,41,DATA,10240,2024-12-02-15:53:34,2024-12-02-15:53:34,236.628,0.346197,
2024-12-02-15:53:34,42,DATA,10240,2024-12-02-15:53:34,2024-12-02-15:53:34,316.6005,0.258749,
2024-12-02-15:53:34,43,DATA,10240,2024-12-02-15:53:34,2024-12-02-15:53:34,320.7563,0.255396,
2024-12-02-15:53:34,44,DATA,10240,2024-12-02-15:53:34,2024-12-02-15:53:34,383.9848,0.213342,
2024-12-02-15:53:34,45,DATA,10240,2024-12-02-15:53:34,2024-12-02-15:53:34,350.0258,0.23404,
2024-12-02-15:53:34,46,DATA,10240,2024-12-02-15:53:34,2024-12-02-15:53:35,314.1923,0.260732,
2024-12-02-15:53:34,47,DATA,10240,2024-12-02-15:53:34,2024-12-02-15:53:35,258.9834,0.316314,
2024-12-02-15:53:34,48,DATA,10240,2024-12-02-15:53:34,2024-12-02-15:53:35,259.6202,0.315538,
2024-12-02-15:53:34,49,DATA,10240,2024-12-02-15:53:34,2024-12-02-15:53:35,220.5152,0.371494,
2024-12-02-15:53:34,50,DATA,10240,2024-12-02-15:53:34,2024-12-02-15:53:35,224.29,0.365241,
2024-12-02-15:53:35,51,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:35,178.0633,0.460061,
2024-12-02-15:53:35,52,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:35,388.6757,0.210767,
2024-12-02-15:53:35,53,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:35,669.3093,0.122395,
2024-12-02-15:53:35,54,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:35,638.424,0.128316,
2024-12-02-15:53:35,55,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:35,658.3939,0.124424,
2024-12-02-15:53:35,56,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:35,646.5882,0.126696,
2024-12-02-15:53:35,57,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:35,492.2346,0.166425,
2024-12-02-15:53:35,58,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:35,106.7002,0.767759,
2024-12-02-15:53:35,59,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:36,237.6996,0.344637,
2024-12-02-15:53:35,60,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:36,241.3146,0.339474,
2024-12-02-15:53:35,61,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:36,242.2504,0.338162,
2024-12-02-15:53:35,62,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:36,256.6246,0.319221,
2024-12-02-15:53:35,63,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:36,234.6458,0.349122,
2024-12-02-15:53:36,64,DATA,10240,2024-12-02-15:53:36,2024-12-02-15:53:36,119.5616,0.68517,
